macro_id,macro,meso,micro,code,total_citations,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
2,Social Science,Politics & Governance,International Politics & Law,220,89653.00000000001,3220.0792641899166,19059.64462469403,28696.548414158493,38676.727696957576,0.035917139015871374,0.21259349519474,0.3200846420550176,0.43140472373437105
2,Social Science,Politics & Governance,Science Policy & Knowledge Networks,221,50317.0,4332.040640743823,8517.256848041372,15645.166783045113,21822.535728169692,0.08609497070063445,0.16927195278020096,0.31093202661218106,0.43370104990698355
2,Social Science,Politics & Governance,Game Theory & Decision Making,222,35600.999999999985,2374.3780488030498,11092.55165390164,10992.359724262898,11141.710573032396,0.06669413917595154,0.31157977736304165,0.30876547637040824,0.3129606070905986
2,Social Science,Finance & Stock Market,Market Forecasting & Algorithmic Trading,230,95995.0,18626.49147796648,14481.570041070045,18662.130625878533,44224.807855084946,0.19403605894022063,0.15085754509161983,0.19440731940078684,0.46069907656737275
2,Social Science,Finance & Stock Market,Digital Financial Services,231,65525.99999999999,9788.928374076899,7725.287181152174,15685.26229273852,32326.522152032398,0.1493899883111574,0.11789651712529645,0.23937463438541223,0.4933388601781339
2,Social Science,Finance & Stock Market,Macroeconomic Financial Policy,232,39430.0,5810.704850866188,7932.174765195282,10184.498176350033,15502.622207588498,0.14736760971002252,0.2011710566876815,0.25829313153309746,0.3931682020691985
2,Social Science,Business & Management,Risk Analytics & Decision Modeling,240,146887.99999999997,18159.721253749918,25756.374515359537,43119.11976784092,59852.7844630496,0.12362971279988781,0.17534702981427716,0.29355100326671296,0.40747225411912213
2,Social Science,Business & Management,Smart Manufacturing,241,207935.0,26484.72430146618,21177.56172887573,78664.81056550155,81607.90340415653,0.12737020848566225,0.10184702781578729,0.3783144279005533,0.3924683357979971
2,Social Science,Business & Management,Organizational Performance,242,130777.00000000001,14502.421155566137,14735.563576696703,39559.944853464236,61979.07041427294,0.11089427923538646,0.11267702712783365,0.3024992533355577,0.47392944030122214
2,Social Science,Business & Management,Enterprise Digitization,243,242765.0,22679.609718653985,22789.39754910531,82805.75954410963,114490.23318813107,0.09342207368712123,0.0938743128091171,0.34109430743356595,0.47160930607019574
2,Social Science,Business & Management,Digital Marketing & Consumer Behavior,244,138968.00000000003,18127.041472398338,16163.723700892147,34583.23925623976,70093.9955704698,0.13044039974957064,0.11631255901280974,0.248857573371134,0.5043894678664856
2,Social Science,Business & Management,Psychographic Profiling & Personalization,245,135673.0,58747.139917324675,21352.130191118948,15265.775342499637,40307.95454905674,0.4330053873454901,0.15737936207734,0.11251888984911985,0.29709636072805007
2,Social Science,Urban Development,Sustainable Development,250,222005.00000000003,28715.68851986213,25390.947904073502,77248.69993377561,90649.6636422888,0.12934703506615675,0.11437106328268958,0.3479592798980906,0.40832262175306316
