code,macro_id,macro,meso,micro,country,fractional_citations
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IE,255.0590909090909
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,OM,217.8972222222222
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,UA,196.55714285714285
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CL,192.95171957671957
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,GH,179.99999999999997
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,DK,164.27997557997557
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ET,158.39047619047622
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CO,153.70454545454547
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,HU,153.62645502645503
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CY,131.0753968253968
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KZ,123.21666666666665
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,LK,119.11666666666667
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,EC,111.44444444444444
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PE,95.05
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,NP,92.77619047619048
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CM,83.11904761904762
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,LU,80.7099111414901
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,YE,75.56497113997114
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,HR,67.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SZ,66.66666666666667
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SS,63.56666666666667
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SK,63.55
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,LB,49.577380952380956
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MM,45.5
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,RS,44.319047619047616
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KW,42.19090909090909
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CU,37.69047619047619
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,UZ,35.57380952380952
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,LV,32.06111111111111
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,LT,30.039682539682538
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BN,26.195238095238093
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SD,25.333333333333336
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AR,25.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BA,20.666666666666664
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AF,15.035714285714285
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BI,12.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KY,11.944444444444445
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,EE,11.80952380952381
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BJ,11.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,FO,10.285714285714285
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,LY,10.25
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MW,10.033333333333333
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,UG,9.5
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CI,9.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KH,8.666666666666666
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MU,8.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PS,7.857142857142858
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BG,7.460714285714286
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,UY,7.166666666666666
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ME,6.083333333333334
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AZ,5.6
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KG,5.5
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IS,5.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BY,5.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,NE,5.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MT,4.892857142857142
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,TZ,4.395238095238095
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,RW,4.05
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,VE,4.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MG,4.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SO,4.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,XK,4.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KE,3.738095238095238
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MN,3.5666666666666664
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SN,3.4935897435897436
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,HN,2.5
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MK,2.4444444444444446
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,FJ,2.25
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ZW,2.25
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AL,2.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,VU,2.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BH,1.9
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BW,1.6666666666666665
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PY,1.4444444444444444
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,GM,1.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AM,1.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CR,1.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CD,1.0
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,GA,0.8400000000000001
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MV,0.4
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,RE,0.4
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ZM,0.25
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,CN,185970.67992512343
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,US,93208.16638958023
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,IL,21757.433954933957
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,GB,17070.14962121211
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,SG,14509.661810411808
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,DE,11579.992796525734
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,AU,10168.616524477939
002,0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,HK,9646.442278554772
